"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"ggExtra","ggExtra","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.9",NA,"R (>= 3.1.0)","colourpicker (>= 1.0), ggplot2 (>= 2.2.0), grDevices, grid (>=
3.1.3), gtable (>= 0.2.0), miniUI (>= 0.1.1), scales (>=
0.2.0), shiny (>= 0.13.0), shinyjs (>= 0.5.2), utils, R6",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5), testthat,
vdiffr, fontquiver, svglite, withr, devtools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"ggforce","ggforce","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.3.2",NA,"ggplot2 (>= 3.0.0), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, reshape2, units (>= 0.4-6),
covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.1"
"ggformula","ggformula","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.9.4",NA,"R (>= 3.1), ggplot2 (>= 3.0), ggstance (>= 0.3.1)","mosaicCore, rlang, magrittr, tibble, stringr, ggforce, grid",NA,"tidyr, mosaicData, dplyr, lattice, mosaic, mosaicModel,
testthat, vdiffr, knitr, rmarkdown, lubridate, survival, broom,
scales, maps, maptools, rgeos, sf, purrr, ggthemes, covr,
ggplot2movies",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"gghalves","gghalves","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.0",NA,"ggplot2 (>= 3.0.0), R (>= 3.4.0)","grid, gtable, grDevices",NA,"knitr, rmarkdown, dplyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"ggmap","ggmap","C:/Users/John Karuitha/Documents/R/win-library/4.0","3.0.0",NA,"R (>= 3.1.0), ggplot2 (>= 2.2.0)","RgoogleMaps, png, plyr, rjson, jpeg, digest, scales, dplyr,
bitops, grid, glue, httr, stringr, purrr, magrittr, tibble,
tidyr",NA,"MASS, hexbin, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"ggnewscale","ggnewscale","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.4.3",NA,NA,"ggplot2 (>= 3.0.0)",NA,"testthat, vdiffr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"ggplot2","ggplot2","C:/Users/John Karuitha/Documents/R/win-library/4.0","3.3.2",NA,"R (>= 3.2)","digest, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
MASS, mgcv, rlang (>= 0.3.0), scales (>= 0.5.0), stats, tibble,
withr (>= 2.0.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, lattice,
mapproj, maps, maptools, multcomp, munsell, nlme, profvis,
quantreg, RColorBrewer, rgeos, rmarkdown, rpart, sf (>= 0.7-3),
svglite (>= 1.2.0.9001), testthat (>= 2.1.0), vdiffr (>= 0.3.0)","sp","GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.0.1"
"ggplot2movies","ggplot2movies","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.0.1",NA,"R (>= 2.10.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"ggplotify","ggplotify","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.0.5",NA,"R (>= 3.4.0)","ggplot2, graphics, grDevices, grid, gridGraphics, rvcheck",NA,"colorspace, cowplot, ggimage, knitr, lattice, prettydoc, vcd",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.0"
"ggplotlyExtra","ggplotlyExtra","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.0.1",NA,"R (>= 3.5.0)","ggplot2, plotly, rlang",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"ggpubr","ggpubr","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.4.0",NA,"R (>= 3.1.0), ggplot2","ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom,
rlang, rstatix (>= 0.6.0), tibble, magrittr",NA,"grDevices, knitr, RColorBrewer, gtable",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"ggRandomForests","ggRandomForests","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.0.1",NA,"R (>= 3.1.0), randomForestSRC (>= 1.5.5)","randomForest, ggplot2, survival, parallel, tidyr",NA,"testthat, rmdformats, RColorBrewer, MASS, dplyr, knitr,
rmarkdown, plot3D",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"ggraph","ggraph","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.0.3",NA,"R (>= 2.10), ggplot2 (>= 3.0.0)","Rcpp (>= 0.12.2), dplyr, ggforce (>= 0.3.1), grid, igraph (>=
1.0.0), scales, MASS, digest, gtable, ggrepel, utils, stats,
viridis, rlang, tidygraph, graphlayouts (>= 0.5.0)","Rcpp","network, knitr, rmarkdown, purrr, tibble, seriation, deldir,
gganimate",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"ggrepel","ggrepel","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.8.2",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, scales (>= 0.3.0)","Rcpp","knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"ggridges","ggridges","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.5.2",NA,"R (>= 3.2)","ggplot2 (>= 3.0.0), grid (>= 3.0.0), plyr (>= 1.8.0), scales
(>= 0.4.1), withr (>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"ggsci","ggsci","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.9",NA,"R (>= 3.0.2)","grDevices, scales, ggplot2 (>= 2.0.0)",NA,"knitr, rmarkdown, gridExtra, reshape2",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"ggsignif","ggsignif","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.6.0",NA,NA,"ggplot2 (>= 2.0.0)",NA,"testthat, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"ggstance","ggstance","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.3.4",NA,"R (>= 3.1.0)","ggplot2 (>= 3.2.0), plyr, rlang, withr (>= 2.0.0)",NA,"Hmisc, testthat, vdiffr (>= 0.3.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"ggThemeAssist","ggThemeAssist","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.5",NA,"R (>= 3.0.0)","shiny (>= 0.13), miniUI (>= 0.1.1), rstudioapi (>= 0.5),
ggplot2, formatR",NA,"extrafont",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"ggthemes","ggthemes","C:/Users/John Karuitha/Documents/R/win-library/4.0","4.2.0",NA,"R (>= 3.3.0)","ggplot2 (>= 3.0.0), graphics, grid, methods, purrr, scales,
stringr, tibble",NA,"dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, rlang, rmarkdown, spelling, testthat, tidyr,
vdiffr, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"gh","gh","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.1.0",NA,NA,"cli, ini, jsonlite, httr (>= 1.2)",NA,"covr, keyring, pingr, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"git2r","git2r","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.27.1",NA,"R (>= 3.1)","graphics, utils",NA,"getPass",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.0"
"githubinstall","githubinstall","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.2.2",NA,NA,"curl, data.table, devtools, httr, jsonlite, mockery, utils",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"gld","gld","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.6.2",NA,NA,"stats, graphics, e1071, lmom",NA,"",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"glm2","glm2","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.2.1",NA,"R (>= 3.2.0), stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"glmmboot","glmmboot","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.5.1",NA,"R (>= 3.1)","methods, stats",NA,"glmmTMB (>= 0.2.1), testthat (>= 0.11.0), parallel (>=
3.0.0), future.apply (>= 1.1.0), knitr, rmarkdown, covr",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"glmmML","glmmML","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.1.1",NA,"R (>= 2.13.0)",NA,NA,"knitr, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.0"
"glmmTMB","glmmTMB","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.0.2.1",NA,"R (>= 3.2.0)","methods, TMB (>= 1.7.14), lme4 (>= 1.1-18.9000), Matrix, nlme","TMB, RcppEigen","knitr, rmarkdown, testthat, MASS, lattice, ggplot2 (>=
2.2.1), mlmRev, bbmle (>= 1.0.19), pscl, coda, reshape2, car
(>= 3.0.6), emmeans (>= 1.4), estimability, DHARMa, multcomp,
MuMIn, effects (>= 4.0-1), dotwhisker, broom, broom.mixed,
plyr, png, boot, texreg, xtable, huxtable, numDeriv",NA,"AGPL-3",NA,NA,NA,NA,"yes","4.0.2"
"glmnet","glmnet","C:/Users/John Karuitha/Documents/R/win-library/4.0","4.0-2",NA,"R (>= 3.6.0), Matrix (>= 1.0-6)","methods, utils, foreach, shape, survival",NA,"knitr, lars, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"glmx","glmx","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1-1",NA,"R (>= 2.14.0)","stats, MASS, Formula, lmtest, sandwich",NA,"AER, gld, numDeriv, pscl",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.2"
"globals","globals","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.13.0",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.2"
"glue","glue","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.4.2",NA,"R (>= 3.2)","methods",NA,"testthat, covr, magrittr, crayon, knitr, rmarkdown, DBI,
RSQLite, R.utils, forcats, microbenchmark, rprintf, stringr,
ggplot2, dplyr, withr, vctrs (>= 0.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"gmailr","gmailr","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.0.0",NA,"R (>= 3.0.0)","base64enc, crayon, gargle, httr, jsonlite, lifecycle,
magrittr, mime, rematch2",NA,"covr, knitr, methods, sodium, rmarkdown, testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"gmm","gmm","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.6-5",NA,"R (>= 2.10.0), sandwich","stats, methods, grDevices, graphics",NA,"mvtnorm, car, stabledist, MASS, timeDate, timeSeries",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"gmnl","gmnl","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.1-3.2",NA,"R (>= 3.6.0), maxLik, Formula","plotrix, msm, mlogit, truncnorm, stats, graphics, utils",NA,"AER, lmtest, car, memisc, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"gmodels","gmodels","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.18.1",NA,"R (>= 1.9.0)","MASS, gdata",NA,"gplots, gtools, Matrix, nlme, lme4 (>= 0.999999-0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"gmp","gmp","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.6-0",NA,"R (>= 3.4.0)","methods",NA,"Rmpfr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"googleAuthR","googleAuthR","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.3.0",NA,"R (>= 3.3.0)","assertthat (>= 0.2.0), cli (>= 2.0.2), digest, gargle (>=
0.4.0), httr (>= 1.4.0), jsonlite (>= 1.6), memoise (>= 1.1.0),
rlang, utils",NA,"bigQueryR, covr, devtools (>= 1.12.0), formatR (>= 1.4),
googleAnalyticsR, knitr, miniUI (>= 0.1.1), rmarkdown, roxygen2
(>= 5.0.0), rstudioapi, shiny (>= 0.13.2), testthat, usethis
(>= 1.6.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"googledrive","googledrive","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.0.1",NA,"R (>= 3.2)","curl (>= 2.8.1), gargle (>= 0.3.1), glue (>= 1.2.0), httr,
jsonlite, magrittr, purrr (>= 0.2.3), rlang (>= 0.3.1), tibble
(>= 2.0.0), utils, uuid",NA,"covr, dplyr, knitr, rmarkdown, roxygen2, sodium, spelling,
testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"googleLanguageR","googleLanguageR","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.3.0",NA,"R (>= 3.3)","assertthat, base64enc, googleAuthR (>= 1.1.1), jsonlite,
magrittr, purrr (>= 0.2.4), stats, tibble, utils",NA,"cld2, testthat, knitr, rmarkdown, rvest, shiny, shinyjs,
stringdist, tidyr, tuneR, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"googlesheets","googlesheets","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.3.0",NA,"R (>= 3.2.0)","cellranger (>= 1.0.0), dplyr (>= 0.4.2), httr (>= 1.1.0),
jsonlite, purrr, readr (>= 0.2.2), stats, stringr, tibble,
tidyr, utils, xml2 (>= 1.0.0)",NA,"covr, ggplot2, knitr, rmarkdown, rprojroot, testthat (>=
1.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"googlesheets4","googlesheets4","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.2.0",NA,"R (>= 3.2)","cellranger, curl, gargle (>= 0.5.0), glue (>= 1.3.0),
googledrive (>= 1.0.0), httr, ids, lifecycle, magrittr,
methods, purrr, rematch2, rlang, tibble (>= 2.1.1), utils,
vctrs (>= 0.2.3)",NA,"covr, readr, rmarkdown, sodium, spelling, testthat (>=
2.1.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"gower","gower","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.2.2",NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.1"
"GPArotation","GPArotation","C:/Users/John Karuitha/Documents/R/win-library/4.0","2014.11-1",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"GPfit","GPfit","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.0-8",NA,NA,"lhs (>= 0.5), lattice (>= 0.18-8)",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"gplm","gplm","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.7-4",NA,"AER",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"gplots","gplots","C:/Users/John Karuitha/Documents/R/win-library/4.0","3.1.0",NA,"R (>= 3.0)","gtools, stats, caTools, KernSmooth",NA,"grid, MASS, knitr",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"graphlayouts","graphlayouts","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.7.0",NA,"R (>= 3.2.0)","igraph, Rcpp","Rcpp, RcppArmadillo","oaqc, testthat, ggraph, ggplot2, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"gravity","gravity","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.9.9",NA,"R(>= 3.4.0)","lmtest, sandwich, glm2, MASS, stats, censReg, survival,
multiwayvcov, tibble, magrittr, dplyr, tidyr, purrr, rlang,
Rdpack, utils",NA,"knitr, rmarkdown, testthat, broom",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"gridExtra","gridExtra","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"gridGraphics","gridGraphics","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.5-0",NA,"grid, graphics","grDevices",NA,"magick (>= 1.3), pdftools (>= 1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"gsubfn","gsubfn","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.7",NA,"proto",NA,NA,"boot, chron, grid, lattice, quantreg, svUnit, tcltk, zoo",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"gt","gt","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.2.2",NA,"R (>= 3.2.0)","checkmate (>= 2.0.0), commonmark (>= 1.7), dplyr (>= 0.8.5),
fs (>= 1.3.2), ggplot2 (>= 3.3.0), glue (>= 1.3.2), htmltools
(>= 0.5.0), magrittr (>= 1.5), rlang (>= 0.4.5), sass (>=
0.1.1), scales (>= 1.1.0), stringr (>= 1.3.1), tibble (>=
3.0.0), tidyselect (>= 1.0.0)",NA,"covr, knitr, paletteer, testthat (>= 2.1.0), RColorBrewer,
rmarkdown, rvest, shiny, tidyr, webshot, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"gtable","gtable","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.3.0",NA,"R (>= 3.0)","grid",NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"gtools","gtools","C:/Users/John Karuitha/Documents/R/win-library/4.0","3.8.2",NA,"methods, stats, utils",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.0"
"gtrendsR","gtrendsR","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.4.7",NA,"R (>= 3.5.0)","ggplot2, jsonlite, anytime, curl",NA,"knitr, rmarkdown, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"gutenbergr","gutenbergr","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.5",NA,"R (>= 2.10)","dplyr, readr, purrr, urltools, stringr, lazyeval",NA,"knitr, rmarkdown, testthat, tidytext, ggplot2, tidyr, curl",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"h2o","h2o","C:/Users/John Karuitha/Documents/R/win-library/4.0","3.30.1.2",NA,"R (>= 2.13.0), methods, stats","graphics, tools, utils, RCurl, jsonlite",NA,"ggplot2, mlbench, Matrix, slam, bit64 (>= 0.9.7), data.table
(>= 1.9.8), rgl (>= 0.100.19), plot3Drgl (>= 1.0.1), survival",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.0.2"
"hardhat","hardhat","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.4",NA,"R (>= 2.10)","glue, rlang (>= 0.4.1), tibble, vctrs (>= 0.3.0)",NA,"covr, crayon, devtools, knitr, modeldata (>= 0.0.2), recipes
(>= 0.1.8), rmarkdown (>= 2.3), roxygen2, testthat (>= 2.1.0),
usethis",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"haven","haven","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.3.1",NA,"R (>= 3.2)","forcats (>= 0.2.0), hms, methods, Rcpp (>= 0.11.4), readr (>=
0.1.0), rlang (>= 0.4.0), tibble, tidyselect, vctrs (>= 0.3.0)","Rcpp","covr, fs, knitr, rmarkdown, testthat, pillar (>= 1.4.0), cli,
crayon",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"het.test","het.test","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1",NA,"vars, methods",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"hexbin","hexbin","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.28.1",NA,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",NA,"marray, affy, Biobase, limma, knitr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.0"
"hexView","hexView","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.3-4",NA,"R (>= 1.8.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"hflights","hflights","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1",NA,"R (>= 2.10)",NA,NA,NA,NA,"CC0",NA,NA,NA,NA,"no","4.0.0"
"highr","highr","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.8",NA,"R (>= 3.2.3)",NA,NA,"knitr, testit",NA,"GPL",NA,NA,NA,NA,"no","4.0.0"
"HistData","HistData","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.8-6",NA,NA,NA,NA,"gtools, KernSmooth, maps, ggplot2, scales, proto, grid,
reshape, plyr, lattice, jpeg, car, gplots, sp, heplots, knitr,
rmarkdown, effects, lubridate, gridExtra, vcd, MASS",NA,"GPL",NA,NA,NA,NA,"no","4.0.0"
"Hmisc","Hmisc","C:/Users/John Karuitha/Documents/R/win-library/4.0","4.4-1",NA,"lattice, survival (>= 3.1-6), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, foreign, gtable,
grid, gridExtra, data.table, htmlTable (>= 1.11.0), viridis,
htmltools, base64enc",NA,"acepack, chron, rms, mice, tables, knitr, plotly (>= 4.5.6),
rlang, plyr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"hms","hms","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.5.3",NA,NA,"methods, pkgconfig, rlang, vctrs (>= 0.2.1)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"hrbrthemes","hrbrthemes","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.8.0",NA,"R (>= 3.4.0)","ggplot2 (>= 3.3.0), grDevices, grid, scales, extrafont, knitr,
rmarkdown, htmltools, tools, magrittr, gdtools",NA,"testthat, dplyr, gridExtra, hunspell, stringi, gcookbook,
clipr, vdiffr, svglite",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"htmlTable","htmlTable","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.1.0",NA,NA,"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xml2, Hmisc, reshape, rmarkdown, chron,
lubridate, tibble, purrr, tidyselect, glue, rlang, tidyr (>=
0.7.2), dplyr (>= 0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"htmltools","htmltools","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.5.0",NA,"R (>= 2.14.1)","utils, digest, grDevices, base64enc, rlang",NA,"markdown, testthat, withr, Cairo, ragg","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"htmlwidgets","htmlwidgets","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.5.1",NA,NA,"grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml",NA,"knitr (>= 1.8)","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"httpcode","httpcode","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.3.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"httpuv","httpuv","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.5.4",NA,"R (>= 2.15.1)","Rcpp (>= 0.11.0), utils, R6, promises, later (>= 0.8.0)","Rcpp, BH, later","testthat, callr, curl, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"httr","httr","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.4.2",NA,"R (>= 3.2)","curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"hunspell","hunspell","C:/Users/John Karuitha/Documents/R/win-library/4.0","3.0",NA,"R (>= 3.0.2)","Rcpp, digest","Rcpp (>= 0.12.12)","spelling, testthat, pdftools, janeaustenr, wordcloud2, knitr,
stopwords, rmarkdown",NA,"GPL-2 | LGPL-2.1 | MPL-1.1",NA,NA,NA,NA,"yes","4.0.0"
"hypergeo","hypergeo","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.2-13",NA,"R (>= 3.1.0),","elliptic (>= 1.3-5), contfrac (>= 1.1-9), deSolve",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"ibdreg","ibdreg","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.3.1",NA,"R (>= 3.3.1), methods, stats, tools, graphics, utils",NA,NA,"R.rsp",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"iBreakDown","iBreakDown","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.3.1",NA,"R (>= 3.5)","ggplot2",NA,"DALEX, knitr, rmarkdown, randomForest, e1071, ranger, nnet,
testthat, r2d3, jsonlite, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"icon","icon","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.0",NA,"R (>= 3.1.3)","rmarkdown (>= 1.6.0), knitr, htmltools",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.1"
"ids","ids","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.0.1",NA,NA,"openssl, uuid",NA,"knitr, rcorpora, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"igraph","igraph","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.2.5",NA,"methods","graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
stats, utils",NA,"ape, digest, graph, igraphdata, rgl, scales, stats4, tcltk,
testthat, withr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"ineq","ineq","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.2-13",NA,"R (>= 2.10.0)","stats, graphics, grDevices",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.0"
